Site,Date,Time_hours,WaterTemp,WindDir,WindSpeed,AirPressure,Vis_Code,Depth,Habitat,Month,Year,Day,StudyYear,Protection,Region,Total_Time,Season
F6,01/02/2017,9.75,19,SE,13,1012,1,29,Sand,2,2017,1,1,Protected,Walker Bay,86.45,Summer-Fall
F6,13/05/2017,9.716666667,15,ENE,16.2,1023,1,30,Sand,5,2017,13,1,Protected,Walker Bay,23.78333333,Summer-Fall
F7,07/02/2017,9.966666667,19,SSW,13,1014,2,50,Rocky reef,2,2017,7,1,Protected,Walker Bay,60.3,Summer-Fall
F7,28/07/2017,9.816666667,15.1,NNW,19,1017,2,40,Rocky reef,7,2017,28,1,Protected,Walker Bay,65.68333333,Winter-Spring
F7,14/02/2018,9.716666667,13.69,SW,12,1012.09,4,42,Sand,2,2018,14,2,Protected,Walker Bay,60.53333333,Summer-Fall
F7,13/04/2018,8.183333333,13.8,NW,13,1018,3,36,Rocky reef,4,2018,13,2,Protected,Walker Bay,61.25,Summer-Fall
F7,12/06/2018,11.58333333,16.1,NNW,18,1028,2,39,Rocky reef,6,2018,12,2,Protected,Walker Bay,65.51666667,Winter-Spring
F8,01/02/2017,9.533333333,17.8,E,11,1013,2,35,Rocky reef,2,2017,1,1,Protected,Walker Bay,69.86666667,Summer-Fall
F8,24/02/2017,10.53333333,15.8,W,14,1010,3,27,Sand,2,2017,24,1,Protected,Walker Bay,65.83333333,Summer-Fall
F8,28/07/2017,11.26666667,15.1,NW,19,1017,1,38,Sand,7,2017,28,1,Protected,Walker Bay,62.96666667,Winter-Spring
F8,14/02/2018,12.68333333,13.69,SW,14,1011.79,3,40,Sand,2,2018,14,2,Protected,Walker Bay,59.73333333,Summer-Fall
F8,12/06/2018,13.13333333,16.1,NW,18,1026,2,39,Rocky reef,6,2018,12,2,Protected,Walker Bay,50.4,Winter-Spring
F9,07/02/2017,9.733333333,19,SSW,13,1014,3,50,Sand,2,2017,7,1,Protected,Walker Bay,33.28333333,Summer-Fall
F9,28/07/2017,9.516666667,15,NNW,19,2.5,2,50,Sand,7,2017,28,1,Protected,Walker Bay,49.13333333,Winter-Spring
F9,06/02/2018,8.85,14.3,WSW,10,1014,1,50,Rocky reef,2,2018,6,2,Protected,Walker Bay,59.86666667,Summer-Fall
F9,12/06/2018,10.18333333,16.1,N,15,1030,2,42,Sand,6,2018,12,2,Protected,Walker Bay,66.68333333,Winter-Spring
G1,19/09/2016,10.41666667,15.4,NE,3,1023,4,30,Sand,9,2016,19,1,Unprotected,Walker Bay,55.98333333,Winter-Spring
G2,19/09/2016,10,15.4,NE,3,1023,3,18,Rocky reef,9,2016,19,1,Unprotected,Walker Bay,58.75,Winter-Spring
G3,19/09/2016,10.8,15.4,NE,3,1023,4,23,Sand,9,2016,19,1,Unprotected,Walker Bay,56.66666667,Winter-Spring
G5,19/09/2016,12.15,15.4,NE,13,1021,2,22,Rocky reef,9,2016,19,1,Unprotected,Walker Bay,54.45,Winter-Spring
G6,19/09/2016,12.31666667,15.4,NE,13,1021,3,15,Sand,9,2016,19,1,Unprotected,Walker Bay,31.55,Winter-Spring
Kelp1,01/03/2018,11.16666667,16,SSW,7.2,1016,2,6,Kelp,3,2018,1,2,Protected,Walker Bay,59.45,Summer-Fall
Kelp1,04/05/2018,10.13333333,17,E,0,1013,3,7,Kelp,5,2018,4,2,Protected,Walker Bay,64.11666667,Summer-Fall
Kelp1,05/06/2018,11.73333333,16.1,NNW,13,1019,4,3,Kelp,6,2018,5,2,Protected,Walker Bay,62.53333333,Winter-Spring
Kelp2,01/03/2018,12.33333333,16,SSW,7.2,1016,2,10,Kelp,3,2018,1,2,Protected,Walker Bay,53.61666667,Summer-Fall
Kelp2,05/06/2018,10.4,16.1,E,3,1024,4,6,Kelp,6,2018,5,2,Protected,Walker Bay,63.83333333,Winter-Spring
Kelp3,12/07/2017,13.18333333,15,SE,8.82,1007,3,10,Kelp,7,2017,12,1,Unprotected,Walker Bay,61,Winter-Spring
Kelp3,01/03/2018,12.38333333,16,SSW,7.2,1016,2,19,Kelp,3,2018,1,2,Unprotected,Walker Bay,56.45,Summer-Fall
Kelp3,04/05/2018,11.61666667,17,E,0,1013,3,11,Kelp,5,2018,4,2,Unprotected,Walker Bay,58.63333333,Summer-Fall
Kelp3,05/06/2018,12,16.2,E,3,1023,3,6,Kelp,6,2018,5,2,Unprotected,Walker Bay,38.5,Winter-Spring
Kelp4,12/07/2017,13.05,15,ESE,9.2,1007,3,6,Kelp,7,2017,12,1,Unprotected,Walker Bay,42.83333333,Winter-Spring
Kelp4,01/03/2018,12.48333333,16,SSW,7.2,1016,3,10,Kelp,3,2018,1,2,Unprotected,Walker Bay,56.76666667,Summer-Fall
Kelp4,04/05/2018,11.68333333,17,E,0,1013,3,7,Kelp,5,2018,4,2,Unprotected,Walker Bay,55.25,Summer-Fall
Kelp4,05/06/2018,12.25,16.7,E,3,1023,1,5,Kelp,6,2018,5,2,Unprotected,Walker Bay,30.76666667,Winter-Spring
Y1,27/07/2016,11.75,15.2,W,11.1,1013,4,44,Sand,7,2016,27,1,Unprotected,Walker Bay,61.95,Winter-Spring
Y2,27/07/2016,11.91666667,15,W,11.1,1013,3,44,Rocky reef,7,2016,27,1,Unprotected,Walker Bay,28.81666667,Winter-Spring
Y3,27/07/2016,12.08333333,15,W,11.1,1013,3,41,Rocky reef,7,2016,27,1,Unprotected,Walker Bay,61.26666667,Winter-Spring
Y4,27/07/2016,NA,13.4,W,11.1,1013,3,42,Rocky reef,7,2016,27,1,Unprotected,Walker Bay,61.05,Winter-Spring
Y5,27/07/2016,12.33333333,14.8,W,11.1,1013,2,43,Sand,7,2016,27,1,Unprotected,Walker Bay,61.06666667,Winter-Spring
Y6,27/07/2016,NA,16.5,WNW,13,1013,3,44,Sand,7,2016,27,1,Unprotected,Walker Bay,15.31666667,Winter-Spring
Y7,27/07/2016,13.66666667,13.6,WNW,13,1013,3,44,Sand,7,2016,27,1,Unprotected,Walker Bay,49.23333333,Winter-Spring
Y8,27/07/2016,13.83333333,15.2,WNW,13,1013,2,44,Sand,7,2016,27,1,Unprotected,Walker Bay,45.31666667,Winter-Spring
Y9,27/07/2016,14,15.2,WNW,13,1013,2,45,Sand,7,2016,27,1,Unprotected,Walker Bay,51.71666667,Winter-Spring
BB10,01/03/2017,10.6,14,ESE,16.7,1017,4,12.1,Kelp,3,2017,1,1,Protected,Betty's Bay,62.51666667,Summer-Fall
BB10,30/10/2017,12.28333333,16,ESE,20,1015,3,16,Kelp,10,2017,30,2,Protected,Betty's Bay,66.68333333,Winter-Spring
BB10,20/03/2018,12.3,14.5,SSE,17,1012.3,3,13.8,Kelp,3,2018,20,2,Protected,Betty's Bay,81.11666667,Summer-Fall
BB10,10/07/2018,11.95,14.7,SE,6,1022.7,2,12,Kelp,7,2018,10,2,Protected,Betty's Bay,61.26666667,Winter-Spring
BB12,11/03/2017,9,13,WNW,3.7,1012,3,5.7,Kelp,3,2017,11,1,Protected,Betty's Bay,69.36666667,Summer-Fall
BB12,30/10/2017,13.78333333,16.4,SE,19,1014,2,5.5,Rocky reef,10,2017,30,2,Protected,Betty's Bay,76.01666667,Winter-Spring
BB12,06/05/2018,NA,17.2,NA,NA,NA,3,7,Kelp,5,2018,6,2,Protected,Betty's Bay,60.26666667,Summer-Fall
BB16,11/03/2017,13.43333333,14,WNW,25.9,1012,3,18.3,Rocky reef,3,2017,11,1,Unprotected,Betty's Bay,71.25,Summer-Fall
BB16,23/03/2018,NA,16.4,NA,NA,NA,3,11,Rocky reef,3,2018,23,2,Unprotected,Betty's Bay,62.35,Summer-Fall
BB16,10/07/2018,9,15.1,SSE,6,1029,2,10,Rocky reef,7,2018,10,2,Unprotected,Betty's Bay,67.8,Winter-Spring
BB17,16/03/2017,9.966666667,16,SSW,4,1014,3,29.4,Rocky reef,3,2017,16,1,Protected,Betty's Bay,67.6,Summer-Fall
BB17,24/07/2017,11.38333333,14.9,NNE,8,1028,2,29.6,Rocky reef,7,2017,24,1,Protected,Betty's Bay,66.61666667,Winter-Spring
BB17,23/03/2018,NA,16.4,NA,NA,NA,3,33,Rocky reef,3,2018,23,2,Protected,Betty's Bay,40.06666667,Summer-Fall
BB17,09/07/2018,11.56666667,14,NW,19,1021.3,1,35,Rocky reef,7,2018,9,2,Protected,Betty's Bay,55.26666667,Winter-Spring
BB18,02/03/2017,8.383333333,13,ESE,22.5,1008,4,28.8,Rocky reef,3,2017,2,1,Unprotected,Betty's Bay,61.11666667,Summer-Fall
BB18,11/10/2017,9.166666667,14.7,WSW,12,1015,4,28.5,Sand,10,2017,11,2,Unprotected,Betty's Bay,66.03333333,Winter-Spring
BB18,10/07/2018,12.08333333,15.3,10,SSW,1022.7,2,29,Rocky reef,7,2018,10,2,Unprotected,Betty's Bay,66.25,Winter-Spring
BB24,11/03/2017,12.06666667,13,NW,33,1011,4,23.8,Sand,3,2017,11,1,Unprotected,Betty's Bay,69.98333333,Summer-Fall
BB24,31/07/2017,12.13333333,14.7,NW,19,1011,1,15,Sand,7,2017,31,1,Unprotected,Betty's Bay,83.56666667,Winter-Spring
BB24,20/03/2018,9.083333333,14.3,NA,NA,NA,3,24.3,Sand,3,2018,20,2,Unprotected,Betty's Bay,65.26666667,Summer-Fall
BB24,10/07/2018,9.166666667,12.4,SE,1.9,1029,3,22,Rocky reef,7,2018,10,2,Unprotected,Betty's Bay,66.5,Winter-Spring
BB28,03/03/2017,8.916666667,16,W,29.6,1012,2,31.6,Rocky reef,3,2017,3,1,Unprotected,Betty's Bay,66.11666667,Summer-Fall
BB28,30/10/2017,10.66666667,16.6,E,21,1016,3,32.9,Sand,10,2017,30,2,Unprotected,Betty's Bay,71.45,Winter-Spring
BB28,20/03/2018,9,14.5,NA,NA,NA,2,33,Rocky reef,3,2018,20,2,Unprotected,Betty's Bay,62.5,Summer-Fall
BB28,09/07/2018,10.73333333,14.8,NW,17,1021.3,1,32,Rocky reef,7,2018,9,2,Unprotected,Betty's Bay,60.61666667,Winter-Spring
BB29,03/03/2017,8.8,15,W,29.6,1012,2,28.3,Rocky reef,3,2017,3,1,Unprotected,Betty's Bay,64.41666667,Summer-Fall
BB29,24/07/2017,9.566666667,14.7,NNE,8,1028,3,26,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,67.48333333,Winter-Spring
BB29,20/03/2018,8.883333333,14.6,SW,0,1014.2,3,27,Rocky reef,3,2018,20,2,Unprotected,Betty's Bay,62.55,Summer-Fall
BB29,09/07/2018,10.63333333,14.9,NW,17,1021.3,1,27,Rocky reef,7,2018,9,2,Unprotected,Betty's Bay,72.56666667,Winter-Spring
BB3,01/03/2017,12.13333333,14,SE,15,1015,3,16.2,Rocky reef,3,2017,1,1,Protected,Betty's Bay,61.81666667,Summer-Fall
BB3,31/07/2017,14.55,14.5,NNW,21,1008,2,18.4,Sand,7,2017,31,1,Protected,Betty's Bay,61.65,Winter-Spring
BB3,10/07/2018,9.116666667,12.3,SE,6,1022.7,2,18,Kelp,7,2018,10,2,Protected,Betty's Bay,63.48333333,Winter-Spring
BB36,03/03/2017,8.616666667,15,W,29.6,1012,2,18.4,Sand,3,2017,3,1,Unprotected,Betty's Bay,66.4,Summer-Fall
BB36,30/10/2017,9.283333333,17.6,E,21,1016,2,24,Sand,10,2017,30,2,Unprotected,Betty's Bay,55.85,Winter-Spring
BB36,20/03/2018,10.58333333,14.6,SW,3,1014.3,3,16,Sand,3,2018,20,2,Unprotected,Betty's Bay,63.4,Summer-Fall
BB36,10/07/2018,13.45,15.1,SE,1.9,1027,2,19,Sand,7,2018,10,2,Unprotected,Betty's Bay,70.71666667,Winter-Spring
BB38,01/03/2017,12.46666667,15,SE,15,1016,3,28.7,Rocky reef,3,2017,1,1,Protected,Betty's Bay,61.68333333,Summer-Fall
BB38,24/07/2017,11.41666667,14.9,NNW,13,1025,4,35,Rocky reef,7,2017,24,1,Protected,Betty's Bay,77.25,Winter-Spring
BB39,20/03/2018,14,15.3,NW,22,1014.3,3,33,Rocky reef,3,2018,20,2,Protected,Betty's Bay,56.1,Summer-Fall
BB40,02/03/2017,12.36666667,13,SE,13,1007,4,29,Rocky reef,3,2017,2,1,Protected,Betty's Bay,66.13333333,Summer-Fall
BB40,10/07/2018,13.86666667,14.9,SE,1.9,1027,3,43,Rocky reef,7,2018,10,2,Protected,Betty's Bay,60.93333333,Winter-Spring
BB43,11/03/2017,8.833333333,13,WNW,3.7,1012,2,23.9,Rocky reef,3,2017,11,1,Unprotected,Betty's Bay,68.2,Summer-Fall
BB43,24/07/2017,9.466666667,14.7,NNE,8,1028,4,18,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,68.25,Winter-Spring
BB43,20/03/2018,8.75,14.6,SW,0,1014.3,2,25.1,Rocky reef,3,2018,20,2,Unprotected,Betty's Bay,61.41666667,Summer-Fall
BB43,10/07/2018,13.51666667,15.7,SE,1.9,1027,2,22,Rocky reef,7,2018,10,2,Unprotected,Betty's Bay,60.68333333,Winter-Spring
BB46,03/03/2017,8.5,15,W,29.6,1012,2,15.3,Rocky reef,3,2017,3,1,Unprotected,Betty's Bay,62.35,Summer-Fall
BB46,11/10/2017,9.4,14.9,WSW,12,1015,3,15,Kelp,10,2017,11,2,Unprotected,Betty's Bay,73.95,Winter-Spring
BB46,09/07/2018,13.36666667,15.1,NW,19,1021.3,1,14,Rocky reef,7,2018,9,2,Unprotected,Betty's Bay,60.83333333,Winter-Spring
BB48,01/03/2017,10.75,14,SE,16.7,1016,4,20.8,Rocky reef,3,2017,1,1,Protected,Betty's Bay,63.71666667,Summer-Fall
BB48,11/10/2017,10.93333333,14.6,WSW,12,1015,4,22.4,Sand,10,2017,11,2,Protected,Betty's Bay,62.3,Winter-Spring
BB48,09/07/2018,13.38333333,14,NW,19,1021.3,2,17,Kelp,7,2018,9,2,Protected,Betty's Bay,45.23333333,Winter-Spring
BB49,08/03/2017,9.466666667,16,S,13,1012,2,35,Rocky reef,3,2017,8,1,Protected,Betty's Bay,80.28333333,Summer-Fall
BB49,11/10/2017,9.066666667,14.7,WSW,12,1015,3,34.5,Rocky reef,10,2017,11,2,Protected,Betty's Bay,61.23333333,Winter-Spring
BB5,11/03/2017,10.5,13,WNW,17,1011,2,7.2,Kelp,3,2017,11,1,Unprotected,Betty's Bay,65.95,Summer-Fall
BB5,30/10/2017,11.95,16.8,ESE,20,1015,2,4.5,Kelp,10,2017,30,2,Unprotected,Betty's Bay,69.73333333,Winter-Spring
BB5,20/03/2018,12.88333333,15.1,SSE,17,NA,1,5.6,Sand,3,2018,20,2,Unprotected,Betty's Bay,64.86666667,Summer-Fall
BB5,10/07/2018,10.5,15,SE,6,1022.7,1,8,Sand,7,2018,10,2,Unprotected,Betty's Bay,59.88333333,Winter-Spring
BB50,11/03/2017,11.15,14,WNW,29.6,1012,3,18,Rocky reef,3,2017,11,1,Protected,Betty's Bay,66.86666667,Summer-Fall
BB50,24/07/2017,11.61666667,14.9,NNW,13,1025,4,18,Rocky reef,7,2017,24,1,Protected,Betty's Bay,58.63333333,Winter-Spring
BB50,10/07/2018,9.05,12.3,SE,6,1022.7,3,17,Kelp,7,2018,10,2,Protected,Betty's Bay,61.13333333,Winter-Spring
BB51,11/03/2017,9.166666667,13,WNW,3.7,1012,3,26,Rocky reef,3,2017,11,1,Unprotected,Betty's Bay,80.98333333,Summer-Fall
BB51,20/03/2018,10.5,15.3,SW,3,1014.3,4,25.5,Sand,3,2018,20,2,Unprotected,Betty's Bay,67.21666667,Summer-Fall
BB51,09/07/2018,13.41666667,15.1,NW,19,1021.3,1,26,Sand,7,2018,9,2,Unprotected,Betty's Bay,62.11666667,Winter-Spring
BB52,23/03/2017,9.983333333,18,WSW,16,1015,2,17,Sand,3,2017,23,1,Unprotected,Betty's Bay,61.55,Summer-Fall
BB52,11/10/2017,9.333333333,14.8,WSW,12,1015,2,17.3,Rocky reef,10,2017,11,2,Unprotected,Betty's Bay,68.81666667,Winter-Spring
BB55,02/03/2017,14.06666667,19,SSW,13,1007,3,21,Rocky reef,3,2017,2,1,Protected,Betty's Bay,55.56666667,Summer-Fall
BB55,11/10/2017,11.16666667,14.7,WSW,17,1015,2,23.5,Rocky reef,10,2017,11,2,Protected,Betty's Bay,79.81666667,Winter-Spring
BB56,11/03/2017,8.916666667,14,WNW,3.7,1012,3,11.2,Kelp,3,2017,11,1,Protected,Betty's Bay,60.48333333,Summer-Fall
BB56,30/10/2017,8.75,16.3,ENE,22,1016,4,11.5,Kelp,10,2017,30,2,Protected,Betty's Bay,75.16666667,Winter-Spring
BB56,06/05/2018,NA,16.4,NA,NA,NA,3,8,Kelp,5,2018,6,2,Protected,Betty's Bay,62.05,Summer-Fall
BB56,10/07/2018,10.46666667,15.1,SE,6,1022.7,3,9,Kelp,7,2018,10,2,Protected,Betty's Bay,63.15,Winter-Spring
BB57,23/03/2017,8.316666667,18,WSW,16,1015,3,8.4,Kelp,3,2017,23,1,Protected,Betty's Bay,64.65,Summer-Fall
BB57,30/10/2017,10.23333333,16.3,E,21,1016,4,7.5,Rocky reef,10,2017,30,2,Protected,Betty's Bay,68.03333333,Winter-Spring
BB57,20/03/2018,13.6,14.3,NW,22,1014.3,2,8.6,Kelp,3,2018,20,2,Protected,Betty's Bay,60.4,Summer-Fall
BB58,01/03/2017,10.48333333,14,ESE,16.7,1017,3,11.7,Kelp,3,2017,1,1,Protected,Betty's Bay,61.55,Summer-Fall
BB58,30/10/2017,10.48333333,16.5,E,21,1016,3,12.3,Rocky reef,10,2017,30,2,Protected,Betty's Bay,74.06666667,Winter-Spring
BB58,20/03/2018,13.75,14.4,NW,22,1014.3,3,11.3,Kelp,3,2018,20,2,Protected,Betty's Bay,60.08333333,Summer-Fall
BB58,10/07/2018,12.08333333,14.7,SE,6,1022.7,2,8,Kelp,7,2018,10,2,Protected,Betty's Bay,62.58333333,Winter-Spring
BB59,11/03/2017,11.31666667,14,WNW,29.6,1012,3,11,Kelp,3,2017,11,1,Protected,Betty's Bay,68.85,Summer-Fall
BB59,30/10/2017,12,16.5,ESE,20,1015,3,11,Kelp,10,2017,30,2,Protected,Betty's Bay,70.41666667,Winter-Spring
BB6,02/03/2017,10.66666667,13,ESE,20,1008,4,10.4,Kelp,3,2017,2,1,Protected,Betty's Bay,72.3,Summer-Fall
BB6,30/10/2017,13.88333333,16.6,SE,19,1014,4,10.4,Kelp,10,2017,30,2,Protected,Betty's Bay,83.86666667,Winter-Spring
BB6,06/05/2018,NA,17.1,S,5.6,1017,3,11.4,Kelp,5,2018,6,2,Protected,Betty's Bay,62.31666667,Summer-Fall
BB6,10/07/2018,10.58333333,15.1,SE,6,1022.7,2,10,Kelp,7,2018,10,2,Protected,Betty's Bay,62.08333333,Winter-Spring
BB60,02/03/2017,10.46666667,13,ESE,20.4,1008,2,14.1,Sand,3,2017,2,1,Protected,Betty's Bay,56.28333333,Summer-Fall
BB60,30/10/2017,10.33333333,16.4,E,21,1016,3,13.9,Rocky reef,10,2017,30,2,Protected,Betty's Bay,69.26666667,Winter-Spring
BB60,20/03/2018,13.66666667,14.3,NW,22,1014.3,3,15.1,Rocky reef,3,2018,20,2,Protected,Betty's Bay,62.1,Summer-Fall
BB60,10/07/2018,12,14.7,SE,6,1022.7,1,7,Sand,7,2018,10,2,Protected,Betty's Bay,63.55,Winter-Spring
BB61,01/03/2017,10.31666667,14,ESE,16.7,1017,3,24.5,Rocky reef,3,2017,1,1,Protected,Betty's Bay,63.1,Summer-Fall
BB61,30/10/2017,10.41666667,16.5,E,21,1016,4,25.3,Rocky reef,10,2017,30,2,Protected,Betty's Bay,68.41666667,Winter-Spring
BB62,08/03/2017,11.8,17,S,14.8,1012,2,27,Rocky reef,3,2017,8,1,Unprotected,Betty's Bay,80.53333333,Summer-Fall
BB62,24/07/2017,12.7,14.9,NNW,13,1025,3,26.9,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,63.56666667,Winter-Spring
BB62,23/03/2018,10.36666667,13,S,23,1008.4,3,30,Rocky reef,3,2018,23,2,Unprotected,Betty's Bay,63.21666667,Summer-Fall
BB62,09/07/2018,10.31666667,13,N,12,1022,1,34,Rocky reef,7,2018,9,2,Unprotected,Betty's Bay,57.43333333,Winter-Spring
BB63,10/07/2018,12.25,15.3,SE,6,1022.7,2,23,Rocky reef,7,2018,10,2,Protected,Betty's Bay,69.06666667,Winter-Spring
BB64,11/03/2017,8.783333333,14,WNW,3.7,1012,3,10.7,Kelp,3,2017,11,1,Protected,Betty's Bay,61.75,Summer-Fall
BB64,30/10/2017,8.616666667,16,ENE,22,1016,3,11.6,Kelp,10,2017,30,2,Protected,Betty's Bay,66.55,Winter-Spring
BB64,23/03/2018,10.46666667,13,S,23,1008.4,3,11,Kelp,3,2018,23,2,Protected,Betty's Bay,51,Summer-Fall
BB64,10/07/2018,9.2,12.3,SE,6,1022.7,3,14,Kelp,7,2018,10,2,Protected,Betty's Bay,67.16666667,Winter-Spring
BB65,08/03/2017,13.58333333,18,S,14.8,1012,2,18.6,Rocky reef,3,2017,8,1,Unprotected,Betty's Bay,62.35,Summer-Fall
BB65,24/07/2017,13.11666667,14.9,NNW,18,1023,3,14.6,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,66.63333333,Winter-Spring
BB66,02/03/2017,14.08333333,13,SE,13,1007,3,11.9,Rocky reef,3,2017,2,1,Unprotected,Betty's Bay,71.6,Summer-Fall
BB66,11/10/2017,12.06666667,15.2,WSW,17,1015,3,34.5,Rocky reef,10,2017,11,2,Unprotected,Betty's Bay,70.95,Winter-Spring
BB67,01/03/2017,8.366666667,14,ENE,16.7,1017,3,21.1,Rocky reef,3,2017,1,1,Unprotected,Betty's Bay,60.98333333,Summer-Fall
BB67,30/10/2017,8.516666667,16.2,ENE,22,1016,3,19,Rocky reef,10,2017,30,2,Unprotected,Betty's Bay,59.78333333,Winter-Spring
BB68,11/03/2017,13.41666667,14,WNW,25.9,1012,2,18,Rocky reef,3,2017,11,1,Unprotected,Betty's Bay,68.95,Summer-Fall
BB68,24/07/2017,9.566666667,14.7,NNE,8,1028,2,15.9,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,65.11666667,Winter-Spring
BB68,23/03/2018,11.75,14.7,S,23,1008.4,3,17,Rocky reef,3,2018,23,2,Unprotected,Betty's Bay,63.91666667,Summer-Fall
BB68,10/07/2018,10.55,15,SE,6,1022.7,3,12,Rocky reef,7,2018,10,2,Unprotected,Betty's Bay,64.01666667,Winter-Spring
BB69,02/03/2017,14.21666667,15,SSW,13,1007,3,18.9,Sand,3,2017,2,1,Unprotected,Betty's Bay,54.9,Summer-Fall
BB69,24/07/2017,9.483333333,14.7,NNE,8,1028,2,16.8,Sand,7,2017,24,1,Unprotected,Betty's Bay,68.71666667,Winter-Spring
BB69,23/03/2018,13.43333333,15.1,S,23,1008.4,3,18,Sand,3,2018,23,2,Unprotected,Betty's Bay,49.8,Summer-Fall
BB69,10/07/2018,9.083333333,12.3,SE,6,1022.7,1,12,Sand,7,2018,10,2,Unprotected,Betty's Bay,66.96666667,Winter-Spring
BB70,02/03/2017,14.18333333,15,SSW,13,1007,4,18.9,Rocky reef,3,2017,2,1,Unprotected,Betty's Bay,69.65,Summer-Fall
BB70,24/07/2017,9.4,14.7,NNE,8,1028,2,17.3,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,66.86666667,Winter-Spring
BB71,03/03/2017,10.65,16,W,29.6,1012,3,19.6,Rocky reef,3,2017,3,1,Unprotected,Betty's Bay,61.8,Summer-Fall
BB71,11/10/2017,13,15.1,SW,20,1014,1,19.7,Rocky reef,10,2017,11,2,Unprotected,Betty's Bay,74.45,Winter-Spring
BB71,23/03/2018,13.2,16.3,SSW,19,1008,3,22,Rocky reef,3,2018,23,2,Unprotected,Betty's Bay,58.53333333,Summer-Fall
BB71,09/07/2018,9.083333333,13,N,5,1024,3,23,Rocky reef,7,2018,9,2,Unprotected,Betty's Bay,57.26666667,Winter-Spring
BB72,03/03/2017,10.46666667,16,W,29.6,1012,3,35.7,Rocky reef,3,2017,3,1,Unprotected,Betty's Bay,63.41666667,Summer-Fall
BB72,24/07/2017,12.78333333,14.9,NNW,13,1025,2,34.2,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,66.46666667,Winter-Spring
BB72,23/03/2018,11.85,16.3,SW,15,1008,2,37,Rocky reef,3,2018,23,2,Unprotected,Betty's Bay,65.38333333,Summer-Fall
BB72,09/07/2018,8.983333333,13,N,12,1022,2,37,Rocky reef,7,2018,9,2,Unprotected,Betty's Bay,58.5,Winter-Spring
BB73,08/03/2017,13.71666667,18,S,14.8,1012,2,38,Rocky reef,3,2017,8,1,Unprotected,Betty's Bay,61.45,Summer-Fall
BB73,05/04/2018,NA,16.4,NA,NA,NA,3,25,Rocky reef,4,2018,5,2,Unprotected,Betty's Bay,62.98333333,Summer-Fall
BB73,10/07/2018,14.05,15.7,SE,6,1022.7,1,30,Rocky reef,7,2018,10,2,Unprotected,Betty's Bay,60.75,Winter-Spring
BB75,11/03/2017,13.13333333,14,WNW,25.9,1012,4,31.3,Rocky reef,3,2017,11,1,Unprotected,Betty's Bay,69.51666667,Summer-Fall
BB75,24/07/2017,11.61666667,14.9,NNW,13,1025,2,30.1,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,74.01666667,Winter-Spring
BB75,06/05/2018,NA,16.4,NA,NA,NA,3,25,Rocky reef,5,2018,6,2,Unprotected,Betty's Bay,60.33333333,Summer-Fall
BB75,09/07/2018,10.26666667,13,NW,17,1021.3,2,9,Rocky reef,7,2018,9,2,Unprotected,Betty's Bay,57.31666667,Winter-Spring
BB76,03/03/2017,10.53333333,16,W,29.6,1012,2,36.1,Rocky reef,3,2017,3,1,Unprotected,Betty's Bay,64.23333333,Summer-Fall
BB76,24/07/2017,13.03333333,13.9,NNW,18,1023,1,36.4,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,39.35,Winter-Spring
BB77,08/03/2017,11.41666667,17,S,14.8,1012,2,20,Rocky reef,3,2017,8,1,Protected,Betty's Bay,67.21666667,Summer-Fall
BB77,30/10/2017,8.7,16.2,ENE,22,1016,2,19,Rocky reef,10,2017,30,2,Protected,Betty's Bay,71.73333333,Winter-Spring
BB77,23/03/2018,8.6,16.3,NE,11,1010,4,19,Rocky reef,3,2018,23,2,Protected,Betty's Bay,61.18333333,Summer-Fall
BB77,10/07/2018,10.71666667,14.9,SE,6,1022.7,3,19,Rocky reef,7,2018,10,2,Protected,Betty's Bay,61.98333333,Winter-Spring
BB78,16/03/2017,9.8,15.6,SSW,4,1014,2,27.2,Rocky reef,3,2017,16,1,Protected,Betty's Bay,61.95,Summer-Fall
BB78,24/07/2017,11.31666667,15,NNW,13,1025,2,27.8,Rocky reef,7,2017,24,1,Protected,Betty's Bay,60,Winter-Spring
BB79,01/03/2017,8.85,14,ENE,16.7,1012,2,27.2,Sand,3,2017,1,1,Protected,Betty's Bay,61,Summer-Fall
BB79,11/10/2017,12.86666667,15,WSW,17,1015,2,28,Sand,10,2017,11,2,Protected,Betty's Bay,68.18333333,Winter-Spring
BB79,23/03/2018,8.916666667,16.3,NE,11,1010,3,31,Rocky reef,3,2018,23,2,Protected,Betty's Bay,62.53333333,Summer-Fall
BB79,10/07/2018,13.66666667,14.9,SE,1.9,1027,1,29,Sand,7,2018,10,2,Protected,Betty's Bay,60.68333333,Winter-Spring
BB8,02/03/2017,10.53333333,13,ESE,20.4,1008,2,10,Kelp,3,2017,2,1,Protected,Betty's Bay,67.68333333,Summer-Fall
BB8,30/10/2017,13.73333333,16,SE,19,1014,3,7,Sand,10,2017,30,2,Protected,Betty's Bay,85.71666667,Winter-Spring
